model_name,candidate_index,candidate_id,candidate_parameters_json,eligible_for_selection,selection_rank,is_selected,complexity_rank,fold_count,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_weighted_f1,std_weighted_f1,mean_accuracy,std_accuracy,mean_cohen_kappa,std_cohen_kappa,mean_multiclass_log_loss,std_multiclass_log_loss
extra_trees,7,extra_trees__candidate_007,"{""classifier__max_depth"":12,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":1}",True,1,True,4,4,0.680452374399,0.0380935779895,0.694242230129,0.0387521694235,0.776209907271,0.0329133549455,0.777915867984,0.0223549016101,0.682405466493,0.0196956910749,0.589692480806,0.0321189214797
random_forest,8,random_forest__candidate_008,"{""classifier__max_depth"":12,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":4}",True,2,False,3,4,0.676675791294,0.0255392642767,0.693162979012,0.00771630468911,0.773678255689,0.0186703488517,0.767165275223,0.012569987593,0.668514878616,0.0203797926256,0.60797587634,0.0422841586749
extra_trees,8,extra_trees__candidate_008,"{""classifier__max_depth"":12,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":4}",True,3,False,4,4,0.676262051098,0.0379010945998,0.708614007793,0.0356954147216,0.76984825552,0.0203242952521,0.764970893319,0.0257457875937,0.669487616841,0.0387850210811,0.615518958091,0.0263308023274
random_forest,4,random_forest__candidate_004,"{""classifier__max_depth"":null,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":4}",True,4,False,3,4,0.673647733141,0.0259746163307,0.690742609632,0.00693510310388,0.770793173794,0.018174429708,0.763131589183,0.0124113234342,0.663114869509,0.0214967831214,0.616692961245,0.0517609837056
extra_trees,4,extra_trees__candidate_004,"{""classifier__max_depth"":null,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":4}",True,5,False,4,4,0.67177193762,0.0372239404842,0.700966292923,0.0382125134646,0.766660357471,0.023827910086,0.762563564802,0.0292050945835,0.665481167341,0.0396129632512,0.61336163605,0.0157217109839
random_forest,6,random_forest__candidate_006,"{""classifier__max_depth"":12,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":4}",True,6,False,3,4,0.668324316629,0.035482666277,0.689196062406,0.0344122583626,0.763894657047,0.0302276595438,0.759115041484,0.0255778460041,0.659070900163,0.0255330399066,0.614332940942,0.0192602885866
extra_trees,5,extra_trees__candidate_005,"{""classifier__max_depth"":12,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":1}",True,7,False,4,4,0.667029034232,0.0387433370837,0.689311493529,0.0474099956336,0.760542452122,0.0310598548744,0.760761931172,0.0229334337263,0.660474033339,0.0229734924295,0.641490593069,0.0343276956847
extra_trees,3,extra_trees__candidate_003,"{""classifier__max_depth"":null,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":1}",True,8,False,4,4,0.666055396985,0.050607457047,0.67038150329,0.0459340487925,0.770033160427,0.0423876312381,0.778543741872,0.031009706775,0.678731069975,0.0291240765704,0.602948467571,0.0517690344301
random_forest,5,random_forest__candidate_005,"{""classifier__max_depth"":12,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":1}",True,9,False,3,4,0.665320235207,0.0447303401959,0.669267038381,0.043414908961,0.761143564527,0.0487099958175,0.764951170362,0.0386253848204,0.661120499136,0.036893513634,0.608693133507,0.048204350751
random_forest,2,random_forest__candidate_002,"{""classifier__max_depth"":null,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":4}",True,10,False,3,4,0.665030340622,0.0369514190543,0.68631001168,0.0315944092725,0.763102587838,0.0296293035822,0.758417509829,0.0256764535072,0.657823912467,0.0272465699294,0.620575527531,0.0217806116923
