outer_fold,test_subjects,outer_development_subjects,model_name,candidate_index,candidate_id,candidate_parameters_json,eligible_for_selection,selection_rank,is_selected,complexity_rank,fold_count,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_weighted_f1,std_weighted_f1,mean_accuracy,std_accuracy,mean_cohen_kappa,std_cohen_kappa,mean_multiclass_log_loss,std_multiclass_log_loss
1,0,"1,2,3",dummy_prior,1,dummy_prior__candidate_001,{},False,,False,0,3,0.13629066589,0.00181220574908,0.2,2.77555756156e-17,0.352333731135,0.0118888981425,0.516893530293,0.0104749634383,0,0,1.34360289256,0.0187259441352
1,0,"1,2,3",logistic_regression,1,logistic_regression__candidate_001,"{""classifier__C"":0.1}",True,24,False,1,3,0.608593483885,0.032269622067,0.688273556183,0.0293613227619,0.705274783336,0.0231663049256,0.695322416564,0.0310337770785,0.579192538945,0.0377731457091,0.959854335623,0.201240570207
1,0,"1,2,3",logistic_regression,2,logistic_regression__candidate_002,"{""classifier__C"":1.0}",True,23,False,1,3,0.609244194156,0.0402844010968,0.676668570366,0.0261789630218,0.713310778667,0.0346268467738,0.704582632558,0.0410915054384,0.585627399835,0.0508402851062,1.2142938192,0.439803557571
1,0,"1,2,3",logistic_regression,3,logistic_regression__candidate_003,"{""classifier__C"":10.0}",True,25,False,1,3,0.604931691918,0.0283841154811,0.668872038847,0.0116585884037,0.710844915753,0.0212770559395,0.703749799856,0.0282029499829,0.58216159125,0.0351522240102,1.38058708006,0.5675414511
1,0,"1,2,3",sgd_logistic,1,sgd_logistic__candidate_001,"{""classifier__alpha"":1e-05,""classifier__penalty"":""l2""}",True,17,False,2,3,0.639787719274,0.0485552835272,0.689367429112,0.0366324835888,0.74147922086,0.0300577471544,0.738970116096,0.035599346592,0.623371302666,0.0457060175248,5.69193277796,1.06626754083
1,0,"1,2,3",sgd_logistic,2,sgd_logistic__candidate_002,"{""classifier__alpha"":0.0001,""classifier__penalty"":""l2""}",True,15,False,2,3,0.643224505579,0.0510468641441,0.691464618435,0.038824850991,0.747074908371,0.0345080413206,0.743899978141,0.038395296102,0.631043025446,0.0508713809228,2.26658706303,0.714659409159
1,0,"1,2,3",sgd_logistic,3,sgd_logistic__candidate_003,"{""classifier__alpha"":0.001,""classifier__penalty"":""l2""}",True,21,False,2,3,0.628748739445,0.0506141566944,0.675345047378,0.0470515046086,0.735389231168,0.0327590516547,0.733590366779,0.0368119539919,0.616335179878,0.0514599003341,0.836410779184,0.217310407448
1,0,"1,2,3",sgd_logistic,4,sgd_logistic__candidate_004,"{""classifier__alpha"":1e-05,""classifier__l1_ratio"":0.15,""classifier__penalty"":""elasticnet""}",True,18,False,2,3,0.638208413074,0.0424099091943,0.689700226518,0.029712545394,0.74237438967,0.0281224674213,0.740347679173,0.0334598533671,0.626241006897,0.0419442963645,5.86414632684,1.08161318287
1,0,"1,2,3",sgd_logistic,5,sgd_logistic__candidate_005,"{""classifier__alpha"":1e-05,""classifier__l1_ratio"":0.5,""classifier__penalty"":""elasticnet""}",True,16,False,2,3,0.640639373469,0.0404175908166,0.6907811089,0.0274893538129,0.741830540743,0.0229696416881,0.73758570925,0.0300778415436,0.622569336198,0.0371766504713,5.845904302,1.36664304702
1,0,"1,2,3",sgd_logistic,6,sgd_logistic__candidate_006,"{""classifier__alpha"":0.0001,""classifier__l1_ratio"":0.15,""classifier__penalty"":""elasticnet""}",True,22,False,2,3,0.61950724161,0.0302153644547,0.679673450794,0.0120772305071,0.721346781334,0.0274060121138,0.725000978655,0.0283842776015,0.605757707067,0.0374115975996,2.54939579267,1.03184428464
